Date,Adj Close
02/11/2020,10957.61035
03/11/2020,11160.57031
04/11/2020,11590.78027
05/11/2020,11890.92969
06/11/2020,11895.23047
09/11/2020,11713.78027
10/11/2020,11553.86035
11/11/2020,11786.42969
12/11/2020,11709.58984
13/11/2020,11829.29004
16/11/2020,11924.12988
17/11/2020,11899.33984
18/11/2020,11801.59961
19/11/2020,11904.70996
20/11/2020,11854.96973
23/11/2020,11880.62988
24/11/2020,12036.79004
25/11/2020,12094.40039
27/11/2020,12205.84961
30/11/2020,12198.74023
01/12/2020,12355.11035
02/12/2020,12349.37012
03/12/2020,12377.17969
04/12/2020,12464.23047
07/12/2020,12519.9502
08/12/2020,12582.76953
09/12/2020,12338.9502
10/12/2020,12405.80957
11/12/2020,12377.87012
14/12/2020,12440.04004
15/12/2020,12595.05957
16/12/2020,12658.19043
17/12/2020,12764.75
18/12/2020,12755.63965
21/12/2020,12742.51953
22/12/2020,12807.91992
23/12/2020,12771.11035
24/12/2020,12804.73047
28/12/2020,12899.41992
29/12/2020,12850.21973
30/12/2020,12870
31/12/2020,12888.28027
04/01/2021,12698.4502
05/01/2021,12818.95996
06/01/2021,12740.79004
07/01/2021,13067.48047
08/01/2021,13201.98047
11/01/2021,13036.42969
12/01/2021,13072.42969
13/01/2021,13128.9502
14/01/2021,13112.63965
15/01/2021,12998.5
19/01/2021,13197.17969
20/01/2021,13457.25
21/01/2021,13530.91016
22/01/2021,13543.05957
25/01/2021,13635.99023
26/01/2021,13626.05957
27/01/2021,13270.59961
28/01/2021,13337.16016
29/01/2021,13070.69043
01/02/2021,13403.38965
02/02/2021,13612.78027
03/02/2021,13610.54004
04/02/2021,13777.74023
05/02/2021,13856.29981
08/02/2021,13987.63965
09/02/2021,14007.7002
10/02/2021,13972.53027
11/02/2021,14025.76953
12/02/2021,14095.46973
16/02/2021,14047.5
17/02/2021,13965.49023
18/02/2021,13865.36035
19/02/2021,13874.45996
22/02/2021,13533.04981
23/02/2021,13465.2002
24/02/2021,13597.96973
25/02/2021,13119.42969
26/02/2021,13192.34961
01/03/2021,13588.83008
02/03/2021,13358.79004
03/03/2021,12997.75
04/03/2021,12723.46973
05/03/2021,12920.15039
08/03/2021,12609.16016
09/03/2021,13073.82031
10/03/2021,13068.83008
11/03/2021,13398.66992
12/03/2021,13319.86035
15/03/2021,13459.70996
16/03/2021,13471.57031
17/03/2021,13525.2002
18/03/2021,13116.16992
19/03/2021,13215.24023
